Term,Process,PValue,FDR,slim
GO:0007067,mitotic nuclear division,0,0.37,cell cycle and proliferation
GO:0007049,cell cycle,0,0.66,cell cycle and proliferation
GO:0051321,meiotic cell cycle,0.05,1,cell cycle and proliferation
GO:0000082,G1/S transition of mitotic cell cycle,0.07,1,cell cycle and proliferation
GO:0000086,G2/M transition of mitotic cell cycle,0.09,1,cell cycle and proliferation
GO:0007067,mitotic nuclear division,0,0.37,cell organization and biogenesis
GO:0016569,covalent chromatin modification,0.01,1,cell organization and biogenesis
GO:0060271,cilium morphogenesis,0.01,1,cell organization and biogenesis
GO:0042384,cilium assembly,0.01,1,cell organization and biogenesis
GO:0007030,Golgi organization,0.02,1,cell organization and biogenesis
GO:0030030,cell projection organization,0.05,1,cell organization and biogenesis
GO:0007005,mitochondrion organization,0.05,1,cell organization and biogenesis
GO:0001822,kidney development,0.02,1,developmental processes
GO:0001843,neural tube closure,0.07,1,developmental processes
GO:0006281,DNA repair,0,0.08,DNA metabolism
GO:0006260,DNA replication,0,0.37,DNA metabolism
GO:0006310,DNA recombination,0.04,1,DNA metabolism
GO:0006302,double-strand break repair,0.08,1,DNA metabolism
GO:0006284,base-excision repair,0.09,1,DNA metabolism
GO:0051301,cell division,0,0.12,other biological processes
GO:0007018,microtubule-based movement,0.02,1,other biological processes
GO:0042254,ribosome biogenesis,0.05,1,other biological processes
GO:0016032,viral process,0.05,1,other biological processes
GO:0043547,positive regulation of GTPase activity,0.05,1,other biological processes
GO:0000910,cytokinesis,0.06,1,other biological processes
GO:0032092,positive regulation of protein binding,0.08,1,other biological processes
GO:0008104,protein localization,0.09,1,other biological processes
GO:0031047,gene silencing by RNA,0.01,1,other metabolic processes
GO:0006511,ubiquitin-dependent protein catabolic process,0,0.12,protein metabolism
GO:0006412,translation,0,0.37,protein metabolism
GO:0050821,protein stabilization,0.01,1,protein metabolism
GO:0006468,protein phosphorylation,0.01,1,protein metabolism
GO:0006413,translational initiation,0.03,1,protein metabolism
GO:0000209,protein polyubiquitination,0.06,1,protein metabolism
GO:0042787,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,0.08,1,protein metabolism
GO:0016567,protein ubiquitination,0.09,1,protein metabolism
GO:0000398,mRNA splicing, via spliceosome,0,0.53,RNA metabolism
GO:0006397,mRNA processing,0,1,RNA metabolism
GO:0006364,rRNA processing,0.01,1,RNA metabolism
GO:0006396,RNA processing,0.01,1,RNA metabolism
GO:0008380,RNA splicing,0.02,1,RNA metabolism
GO:0006366,transcription from RNA polymerase II promoter,0.05,1,RNA metabolism
GO:0008033,tRNA processing,0.06,1,RNA metabolism
GO:0006355,regulation of transcription, DNA-templated,0.09,1,RNA metabolism
GO:0006974,cellular response to DNA damage stimulus,0,0.05,stress response
GO:0006281,DNA repair,0,0.08,stress response
GO:0006302,double-strand break repair,0.08,1,stress response
GO:0006284,base-excision repair,0.09,1,stress response
GO:0015031,protein transport,0,0.23,transport
GO:0006886,intracellular protein transport,0,0.81,transport
GO:0006888,ER to Golgi vesicle-mediated transport,0,0.96,transport
GO:0016192,vesicle-mediated transport,0.02,1,transport
GO:0006406,mRNA export from nucleus,0.04,1,transport
GO:0006606,protein import into nucleus,0.09,1,transport
GO:0042147,retrograde transport, endosome to Golgi,0.1,1,transport
GO:0098609,cell-cell adhesion,0.04,1,NA
GO:0070936,protein K48-linked ubiquitination,0.07,1,NA
GO:0003341,cilium movement,0.07,1,NA
