Contig100199	24435	24435	Contig100199	maker	three_prime_UTR	24417	25520	.	+	.	ID=Olurida_00005839-RA:three_prime_utr;Parent=Olurida_00005839-RA;
Contig100335	2064	2064	Contig100335	maker	three_prime_UTR	2051	2077	.	-	.	ID=Olurida_00020841-RA:three_prime_utr;Parent=Olurida_00020841-RA;
Contig101313	4342	4342	Contig101313	maker	three_prime_UTR	3596	4346	.	-	.	ID=Olurida_00015105-RA:three_prime_utr;Parent=Olurida_00015105-RA;
Contig101661	1507	1507	Contig101661	maker	three_prime_UTR	1456	1861	.	-	.	ID=Olurida_00019999-RA:three_prime_utr;Parent=Olurida_00019999-RA;
Contig1050	6932	6932	Contig1050	maker	three_prime_UTR	6748	6995	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	6943	6943	Contig1050	maker	three_prime_UTR	6748	6995	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	6992	6992	Contig1050	maker	three_prime_UTR	6748	6995	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7043	7043	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7076	7076	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7099	7099	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7134	7134	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7204	7204	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7244	7244	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7266	7266	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7268	7268	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7275	7275	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7287	7287	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7295	7295	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7331	7331	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7394	7394	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7508	7508	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7625	7625	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7631	7631	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7641	7641	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig1050	7667	7667	Contig1050	maker	three_prime_UTR	7032	7747	.	-	.	ID=Olurida_00005656-RA:three_prime_utr;Parent=Olurida_00005656-RA;
Contig107704	6657	6657	Contig107704	maker	three_prime_UTR	4927	6712	.	-	.	ID=Olurida_00013000-RA:three_prime_utr;Parent=Olurida_00013000-RA;
Contig107704	6711	6711	Contig107704	maker	three_prime_UTR	4927	6712	.	-	.	ID=Olurida_00013000-RA:three_prime_utr;Parent=Olurida_00013000-RA;
Contig110	43803	43803	Contig110	maker	three_prime_UTR	43760	43819	.	+	.	ID=Olurida_00001213-RA:three_prime_utr;Parent=Olurida_00001213-RA;
Contig110	43808	43808	Contig110	maker	three_prime_UTR	43760	43819	.	+	.	ID=Olurida_00001213-RA:three_prime_utr;Parent=Olurida_00001213-RA;
Contig1153	6373	6373	Contig1153	maker	three_prime_UTR	5625	6381	.	-	.	ID=Olurida_00010654-RA:three_prime_utr;Parent=Olurida_00010654-RA;
Contig1240	3072	3072	Contig1240	maker	three_prime_UTR	2481	3161	.	-	.	ID=Olurida_00006060-RA:three_prime_utr;Parent=Olurida_00006060-RA;
Contig1240	3078	3078	Contig1240	maker	three_prime_UTR	2481	3161	.	-	.	ID=Olurida_00006060-RA:three_prime_utr;Parent=Olurida_00006060-RA;
Contig1240	3083	3083	Contig1240	maker	three_prime_UTR	2481	3161	.	-	.	ID=Olurida_00006060-RA:three_prime_utr;Parent=Olurida_00006060-RA;
Contig1240	3100	3100	Contig1240	maker	three_prime_UTR	2481	3161	.	-	.	ID=Olurida_00006060-RA:three_prime_utr;Parent=Olurida_00006060-RA;
Contig1240	3132	3132	Contig1240	maker	three_prime_UTR	2481	3161	.	-	.	ID=Olurida_00006060-RA:three_prime_utr;Parent=Olurida_00006060-RA;
Contig1240	3138	3138	Contig1240	maker	three_prime_UTR	2481	3161	.	-	.	ID=Olurida_00006060-RA:three_prime_utr;Parent=Olurida_00006060-RA;
Contig1258	14043	14043	Contig1258	maker	three_prime_UTR	13885	14171	.	-	.	ID=Olurida_00003348-RA:three_prime_utr;Parent=Olurida_00003348-RA;
Contig1258	14045	14045	Contig1258	maker	three_prime_UTR	13885	14171	.	-	.	ID=Olurida_00003348-RA:three_prime_utr;Parent=Olurida_00003348-RA;
Contig1258	14050	14050	Contig1258	maker	three_prime_UTR	13885	14171	.	-	.	ID=Olurida_00003348-RA:three_prime_utr;Parent=Olurida_00003348-RA;
Contig1258	14053	14053	Contig1258	maker	three_prime_UTR	13885	14171	.	-	.	ID=Olurida_00003348-RA:three_prime_utr;Parent=Olurida_00003348-RA;
Contig1258	14113	14113	Contig1258	maker	three_prime_UTR	13885	14171	.	-	.	ID=Olurida_00003348-RA:three_prime_utr;Parent=Olurida_00003348-RA;
Contig1258	14123	14123	Contig1258	maker	three_prime_UTR	13885	14171	.	-	.	ID=Olurida_00003348-RA:three_prime_utr;Parent=Olurida_00003348-RA;
