siteID	coverage1	coverage2	coverage3	coverage4	coverage5	coverage6	coverage7	coverage8	coverage9	coverage10	coverage11	coverage12	coverage13	coverage14	coverage15	coverage16	coverage17	coverage18
Contig0_39226	21	22	22	23	23	21	20	16	31	17	5	23	17	10	20	13	19	24
Contig0_39234	24	27	27	26	28	25	23	24	36	19	7	29	19	12	25	17	23	32
Contig0_64179	10	14	9	21	11	13	13	12	15	5	5	19	11	24	19	10	10	15
Contig0_71523	16	12	13	18	13	8	16	10	16	23	18	14	28	21	33	21	20	18
Contig0_71533	21	17	18	17	21	13	23	20	21	27	22	21	33	24	36	23	23	23
Contig0_71542	23	23	16	14	15	12	28	14	18	21	19	12	35	26	33	23	17	22
Contig0_71546	20	19	15	12	14	15	26	14	16	21	15	11	31	22	30	21	15	17
Contig0_71558	20	19	12	16	13	5	27	11	19	29	22	19	30	30	30	25	23	19
Contig0_71563	20	19	13	18	13	8	26	9	20	26	22	19	30	28	33	27	28	21
Contig0_71617	22	20	23	20	19	10	22	22	25	29	21	17	28	29	36	28	25	19
Contig0_71647	22	19	17	23	16	13	22	33	22	20	30	18	23	29	35	35	30	25
Contig0_71667	17	13	16	17	16	10	20	20	20	23	27	25	26	30	27	33	19	20
Contig0_71680	19	15	19	17	19	15	20	17	22	27	22	27	32	34	25	33	22	22
Contig0_71685	18	14	17	20	20	15	22	17	23	31	26	30	29	32	25	33	27	21
Contig0_71690	19	16	16	20	23	15	23	18	29	29	27	27	28	27	28	35	28	20
Contig0_71699	18	18	15	21	17	14	21	16	23	26	24	25	31	31	32	30	25	19
Contig0_71701	18	20	15	21	18	13	21	14	22	29	22	25	32	33	36	29	29	20
Contig100_57574	17	16	14	16	11	10	18	22	16	23	10	18	18	34	20	30	32	15
Contig100009_843	21	16	19	18	10	14	22	17	22	44	30	18	29	35	38	44	30	17
Contig100023_8119	22	17	21	16	14	15	13	15	23	28	8	19	22	34	42	18	13	30
Contig100024_90	11	6	13	11	10	7	16	12	12	19	27	8	21	17	25	23	17	11
Contig100073_892	18	8	23	18	20	27	12	17	20	14	4	15	16	19	10	14	14	26
Contig100117_1003	20	14	17	22	19	9	23	17	16	15	22	18	28	34	26	17	29	22
