methQTL,Category,Function,Number of Genes,%,EASE Score,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
Local SNPs,GOTERM_BP_DIRECT,GO:0006281~DNA repair,6,8.695652174,0.06856047194,"P27089, Q14686, Q9NSU2, P56282, Q5ZK40, Q5U379",62,14,361,2.495391705,1,1,1
Local SNPs,GOTERM_CC_DIRECT,GO:0005634~nucleus,23,33.33333333,0.04648733779,"Q9ULT8, Q63425, Q9C005, Q61532, Q9BY84, Q05192, Q9Y6Q3, Q14686, Q6GQR8, Q9UHC1, B7ZC77, Q5U379, Q6P1E8, Q9DE13, Q9R0M8, P16157, O08992, Q920R0, Q8N2R0, Q56P03, Q5ZJ65, F4I1X0, F1QZ88",63,101,389,1.406097753,0.9987837257,1,1
Local SNPs,GOTERM_CC_DIRECT,GO:0005913~cell-cell adherens junction,4,5.797101449,0.08399312885,"P35220, O08992, O75369, B7ZC77",63,7,389,3.528344671,0.9999957565,1,1
Local SNPs,GOTERM_CC_DIRECT,GO:0005789~endoplasmic reticulum membrane,6,8.695652174,0.0931047367,"O08992, Q2KIU0, Q9JID6, Q5HYA8, Q9NSU2, P24456",63,16,389,2.31547619,0.9999989635,1,1
Local SNPs,GOTERM_CC_DIRECT,GO:0005737~cytoplasm,23,33.33333333,0.09406945659,"Q9ULT8, Q8TE73, A6N6J5, Q63425, Q61532, Q9BY84, O54928, Q6TH15, Q58EK5, Q7Z3G6, O75369, A4IF63, F1PBJ0, P11533, B7ZC77, P16157, P35220, O08992, Q920R0, Q28E41, Q1JPJ9, Q56P03, F4I1X0",63,108,389,1.314961787,0.999999108,1,1
Local SNPs,UP_KEYWORDS,Cytoskeleton,12,17.39130435,0.001314081632,"Q8TE73, A6N6J5, P16157, P13395, P35220, O08992, O75369, P11533, Q5HYA8, P53603, B7ZC77, F1MBP6",69,27,423,2.724637681,0.1939835363,0.2155093876,0.2155093876
Local SNPs,UP_KEYWORDS,Nucleus,24,34.7826087,0.01124606461,"Q63425, Q9C005, Q61532, Q9BY84, Q05192, P27089, Q9Y6Q3, Q14686, Q5EB28, Q6GQR8, Q7Z3G6, Q9NSU2, Q9UHC1, B7ZC77, Q5U379, Q6P1E8, Q9DE13, O08992, Q8N2R0, Q28E41, P56282, Q5ZK40, Q56P03, F1QZ88",69,94,423,1.565217391,0.8435163704,0.9221772981,0.9221772981
Local SNPs,UP_KEYWORDS,Cytoplasm,25,36.23188406,0.02996822571,"P55205, Q61532, Q6TH15, O75369, A4IF63, F1PBJ0, Q9NSU2, P53603, P13395, P35220, O08992, Q28E41, Q56P03, Q8TE73, A6N6J5, Q63425, Q9BY84, Q58EK5, P11533, Q5HYA8, B7ZC77, F1MBP6, Q6P3S1, P16157, Q1JPJ9",69,107,423,1.432344575,0.9931939133,1,1
Local SNPs,UP_KEYWORDS,Disease mutation,9,13.04347826,0.06188468843,"Q8TE73, P16157, P55809, Q7Z3G6, O75369, Q5HYA8, Q9UHC1, Q9NSU2, Q8IVL5",69,28,423,1.970496894,0.9999718148,1,1
Local SNPs,UP_KEYWORDS,DNA-binding,9,13.04347826,0.07456428577,"Q9DE13, Q05192, Q9Y6Q3, P27089, Q6GQR8, P56282, Q5ZK40, Q5U379, F1QZ88",69,29,423,1.902548726,0.9999969746,1,1
