PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100	PC101	PC102	PC103	PC104	PC105	PC106	PC107	PC108	PC109	PC110	PC111	PC112	PC113	PC114	Pop
HC1-11	-0.0822233896383957	0.0136321754782834	0.0624911713660698	-0.0259888845895377	0.349758193813755	-0.256060161461547	0.0361113143136352	-0.00357481743655754	-0.0232601399636655	0.111534012410079	0.0200720343385347	-0.0269213850993676	0.136384808457018	0.00367952369976266	-0.0450824080322355	-0.00360275596226018	0.0403029412920764	-0.0337932136779843	-0.0391358267507758	0.0341559518085103	0.0200906935293258	0.073719379543213	-0.0616819383293125	0.0370394890908224	0.175890501642232	-0.000588562748517012	0.137843379668296	-0.0725316383541626	-0.0110012433228604	0.0230041383400001	-0.110814923571694	0.280331319188714	0.228913135865115	-0.0761039724463101	-0.153980546528307	-0.027450352308206	-0.0963035298012876	0.0692630406437885	-0.107145367083243	0.0416406349329423	0.126148096069172	0.305625782484805	-0.0278171662907579	0.0749031546352853	0.0627057325021442	-0.180506943288313	-0.00459438784263023	0.242260223819451	-0.0741126710560748	-0.0409942819810077	-0.113035865456203	0.139874667387712	-0.0694013134534176	0.142351068574757	0.00374295575209086	-0.0314902190322578	-0.067447342598052	-0.0173838288736417	0.148749070043524	-0.104042002873609	0.116931083592654	-0.0100363066886195	-0.0619433377489479	0.0631729155676912	0.0548704788297027	-0.107507852289441	0.0238787060642305	-0.134775072849512	0.0737406045606585	-0.0115484457838133	0.0223071431046389	0.0190170958667788	0.0663003478300188	-0.0747606747356582	-0.00669313833612138	-0.102162804514773	0.0943324637515552	-0.0958078233404996	0.0328566051972417	-0.107958495607076	0.0384516700252668	0.0746437617639307	0.000273997233975203	0.00624980319893934	0.0318155051651602	-0.008697034976393	0.0833592448326664	-0.0111971810671856	0.0100154014312721	0.025799757459754	0.0238645461651601	-0.0142068698915366	-0.045121285596719	-0.0214013538596282	0.0151279780542403	-0.0364339014651094	0.0180953196950958	-0.0500126016385977	-0.0419845325890246	0.138225050611676	0.0453722233517378	0.0107502178852392	-0.00640645061430263	-0.0359249328450867	0.0510824885204778	0.0196757094541164	0.0180495389399608	-0.00405546749998522	-0.0318039514405391	0.0398211044367162	0.0123065021885259	-0.0371027227932042	0.0115777143504428	-0.093618405027018	HC
HC1-12	-0.124472914067797	-0.0428637867126116	-0.159817697873719	-0.053568152522405	-0.0404959509384391	0.00427376214826164	-0.218287428531457	0.127553445060456	-0.016070063270998	0.0225296089502845	0.0107558208091733	-0.0653525986888119	-0.0170650282051054	0.0034623557217329	0.0376929382288388	-0.0494292985849529	-0.0284338460917423	0.0388147574588336	-0.0956860283400772	-0.0412085009865957	0.0139487914377802	0.0639463929052031	0.0212417543679564	0.123548996073819	-0.0277995962864922	-0.0262908655591917	0.0632693638524926	0.0243165885706266	-0.043310588082187	-0.0302841657974112	0.101177977839596	-0.0744443907761352	-0.0983836868516544	-0.0788228571224723	-0.0182491096129693	-0.00671612252714235	0.0462535110542657	-0.0306474633652356	-0.101905068518762	-0.0190127452052081	0.0989759276228679	0.100831250391128	-0.0973826341970767	0.0732058119380542	0.0408374602623844	0.015419879507806	-0.103663877804607	0.130267049474745	0.0735548730642608	-0.0916282525257705	0.00907264022816522	0.0373734477379459	0.135859997285669	-0.0416799424018645	-0.0862706671323969	-0.0776037907499471	0.0244714591202227	0.266267619267132	-0.0696774696932287	-0.0192940177813693	-0.161437721119416	0.0583833964086404	-0.106037208693003	0.043683564224262	-0.185147017066664	0.200836853810159	0.122525595961923	0.234901268742275	0.0470013461488889	-0.241592032700275	0.161434683281396	0.320013774873867	-0.0183628365524244	-0.000480480736611097	-0.00867157146185466	-0.0454484634135042	0.0606455184648012	-0.122370227203087	0.003101429422761	-0.0499467954373361	0.0927951115111806	0.0697421485062653	-0.0769134368884097	-0.0509702388797195	0.0540698379283436	-0.0476429592370403	0.072149804200192	0.115379691773719	-0.0215490970529546	-0.0531658858847755	0.0545352439049409	-0.116936159814247	-0.127006718488983	-0.10817382487824	0.10744978178046	-0.0612959495470221	0.0735421466160607	0.10368743749681	0.019943896111717	-0.0154400391992584	-0.0672604395749769	-0.0283506728173477	0.0608565894293519	-0.0743905802003164	-0.0961764797045877	-0.159638694727906	-0.00126315715162498	-0.0708407031511929	-0.0661002795651829	-0.0156062036619305	0.00749615217415426	-0.0406609561226494	-0.0787914118561838	-0.0940266693816612	HC
HC1-13	-0.109537087111356	-0.00440688982334623	0.0848053124146521	0.190584822403478	-0.0463210156408089	-0.00200662005353577	0.0191372090934609	0.00599554973912781	0.00502696644881971	0.190913666999268	0.0451400014573467	0.0129349256540324	-0.0233839846268818	-0.0817220612972564	-0.00505393112674992	-0.0103741360132435	0.079154680211699	-0.00113388134814468	-0.0792686301323139	0.0722960764228339	-0.0647403685761381	0.0402229778228148	0.024045780484262	-0.00574406771804238	0.066668616482949	-0.0431443015275762	-0.0815302813368424	0.00119366103679394	-0.0230641579380714	0.185803124185797	0.0599555062458534	-0.128193581449498	-0.120765783330064	-0.102536737454946	-0.0655670826131377	0.047413477083906	0.119857575699609	-0.111320897909495	0.00860417472911492	0.0424077206360428	-0.155049118910145	0.0181602780534776	-0.0527956312706656	-0.0451832308357701	0.211277532771028	0.206196327536901	-0.0911526611353577	-0.0935594811963138	0.119995549078869	-0.0843217404903977	-0.0992670975998778	0.0295902079843818	-0.0783353109709349	0.0804248534259251	0.0894108928340356	0.0492902406808753	0.0461800604484356	0.0971917487870491	-0.0878168672123891	-0.188783862077812	0.0375842824754017	0.122333451043915	-0.0367613820442285	0.0467855163560044	-0.0383709289179887	-0.115465896711904	-0.0224201645320525	-0.00419413232034868	0.0285770036174405	0.0812862683005476	0.127517594642988	-0.104623976796633	-0.0502771023868615	0.0717602587511913	-0.0163125150747001	-0.114220505169207	-0.0145483206700118	-0.01378933390323	0.159833595189108	-0.205544998374682	0.0576505431899087	0.0674716722944945	-0.147236945120223	-0.016648290342589	-0.0527708081412112	0.00938004026160593	-0.0184733176088	-0.270152443905931	0.220269082881651	0.167069776713354	-0.0260383029266207	-0.0223802093550213	0.0171669205771487	0.0129422831527836	-0.107069789773782	-0.0110258139364358	-0.0180529301785188	-0.0170452328652475	0.080736294621727	0.0414017702011361	0.0586962436246571	0.113332677311502	0.0780894499236395	-0.13786177272168	-0.106117883231714	-0.0110855810789734	-0.0839862673191671	0.234295134788193	-0.055424357038404	0.078119061051241	-0.0269305858415674	-0.0437156062082379	0.0322801025796632	-0.0926340181967875	HC
HC1-14-L5	-0.103380522290142	-0.0238646706129872	-0.0960961298116853	-0.0461425368629423	-0.0248087104375633	0.00723086088009443	0.0985900102170437	-0.00456668128795249	-0.0105621465718394	-0.0628941473646808	0.0426392422755324	0.241605000013223	-0.0446482538346654	-0.143803332939659	-0.268870472129255	0.14761635953705	0.00209022673378935	-0.180138199067175	0.150198822425479	-0.0971886883277209	0.00692752990231828	-0.0745252517410282	-0.140656080313776	0.0939023399558746	-0.0473634139335504	-0.0358361155932473	-0.223639387185573	-0.0495423485977307	0.00472448283175164	-0.024769867828798	-0.0810630234812365	0.0536484929554149	-0.0864438418384173	0.05662913049237	-0.0930212658369393	-0.0856611818863682	-0.0395543143402196	0.0385610229759488	0.0381759813788936	0.0266359328684119	-0.20170438697064	0.0171846838118482	-0.0101001776953604	-0.123462679084042	-0.128997080405811	0.10822633541557	0.146620407423157	0.081029679828988	0.0434976682221406	-0.0215997352479597	0.0344096400728982	-0.0978996535010895	-0.0441864159057518	-0.0385676749640136	0.0557671302979454	0.0224098797402024	0.0646228061620838	-0.0161743719802264	-0.141719899798648	-0.0583178632276642	-0.141065643073625	-0.222670342017414	-0.0717350004550646	0.0812360317291879	0.109152966404899	-0.24437549389335	0.0807991196223415	-0.116544163678477	0.217589254445306	-0.179969637192831	0.0573530098257347	0.000909509999742854	-0.0427201544463441	0.0762077658774369	0.0955189173362499	-0.109314990944582	0.151574175606484	-0.00827766105528032	-0.0598827091738191	0.103968734855917	0.0345841306050618	0.0267835509884002	-0.0494037614417167	-0.0463102804408531	0.0911982383659004	0.0508048347960793	0.112557126127658	0.0857024904824866	-0.0398853640268016	-0.00246140170936818	-0.0183894517837899	-0.0904652408520427	-0.0883736414823579	-0.0741840903393386	-0.00205048467543345	0.0681769967870625	0.0374477839515488	0.0178122753162335	-0.00397040683947834	0.0925188740073587	0.0358186647683459	-0.0355668633998893	0.0138988741903904	-0.0271234837583673	-0.116375570092349	-0.0268819821396575	-0.048000354586176	-0.0241122232746146	-0.0278343965363082	-0.0123472836106023	-0.00372091333456235	-0.0132087306662024	-0.00382301004920971	-0.0937565618812767	HC
HC1-15	-0.0809979066026664	0.0144295850715465	0.0471332772388534	-0.0209796022353967	0.31198418670692	-0.249894511547112	-0.0463612322807451	0.0460091885654131	-0.00678401098811854	0.127826054044783	-0.00320213336543219	-0.0580616007032322	0.215713002830894	-0.0635403451949529	-0.0355388607722615	-0.0278097925807717	-0.0146591214888731	-0.0215113535832143	0.0407154339278232	0.0156802238736487	0.0546894725040739	-0.0234895889581768	-0.0470357048582665	0.0482525587509128	0.0152389594436248	0.0693530122954794	0.0338669808898937	-0.0280654656918395	0.0349412554849528	0.0583749415705226	-0.0438917526608397	-0.0888907199273181	-0.0510090252122501	-0.046787445286585	-0.0189895398216578	-0.0267053900969143	0.00955642186635496	0.0397927705608062	0.0251962092645885	0.0936197165428923	-0.0577378306687822	-0.00697079568453811	-0.0702645371694972	-0.0870509264091874	-0.0270207584790177	0.0651435367694482	0.115657714313013	-0.0896487023723517	-0.0018869336903054	-0.0102104236755893	-0.00978786500225412	0.082992569120898	-0.090544079239043	0.166239564873567	0.186968554672754	-0.13838071074788	0.0797784393475743	0.13116347336799	-0.112178740499104	0.0637051772189067	-0.0833460904876016	-0.0838777349020612	0.130987177296403	-0.0275972496296106	-0.042987887690068	-0.0791102626855637	-0.0486124087210273	0.363668548818116	0.00417568414793989	-0.170777173754178	-0.0587703719542674	-0.0994476582527144	-0.0617484130439374	-6.44130784597824e-05	0.0251446092885553	0.219810144227831	-0.294266379586074	0.0419479623349508	-0.00348127335729025	0.212791177642463	-0.0480457129440847	-0.142148717023013	-0.061755975322208	0.037141064811081	-0.0936755606415351	0.0349035960472139	-0.0798433103809497	0.00763026123625411	0.038087319456503	-0.0984644875276746	0.0223251327689299	0.104796247867935	-0.018820080301233	-0.0236456386236458	-0.0281592142552723	0.087776881016125	-0.071778896031516	0.0578820493755368	0.00257477170879328	-0.0817891349418656	-0.0675400807825526	-0.0797196538535532	-0.0388699833485538	0.0358355463837527	-0.0278134497055526	0.0382499769015195	0.00119517901105804	0.00670735570138412	0.0277253290777606	0.0213900075675749	-0.0212668574371571	0.0462820968415024	-0.0462818444733415	-0.0932672543921567	HC
HC1-18	-0.0805170999272134	0.0212087391138633	0.063708125070657	-0.0476957315743366	0.306701499111818	-0.236548940220192	-0.0276434149567458	0.0423501042290643	-0.00794620548507538	0.0503697459528608	0.0310519593567158	-0.0395668177661023	0.122974905070495	0.0559272318300687	0.058549616650395	0.0793073138759479	0.0200850642777082	-0.0682582187026033	0.0204471978983827	-0.0293175211192403	0.0318195213885015	-0.00862846009570586	0.0472627129288651	-0.00527506005612263	0.0788437974438931	-0.116164029015285	0.0876614224324415	0.0160266975220373	0.0359073733096418	-0.183668730800033	0.0602184804906495	-0.380802226550422	-0.245694022544689	0.0446287032510795	-0.0629020383472119	-0.109899901803533	-0.0489822131883598	0.273816983768207	0.0251249331014629	0.0603331629649278	0.0249194837663586	-0.25530880066171	-0.0517928365998684	-0.0455490411687951	0.0492781176436005	-0.0556315111954846	0.0380358973710698	-0.0990835361232516	0.0909844789542911	-0.0541119307381746	-0.0106205911401129	-0.169628411806673	0.262005929560553	-0.0888341172974265	-0.0181952589158191	0.147606070137566	-0.172505146705921	-0.188455960247783	0.0153005043445819	-0.141902713540016	0.0250317859112365	0.0244120611995464	-0.0134992551350449	-0.0307700498266373	0.0124122160503528	0.0446081056497754	0.0591537855478921	-0.138384220527503	-0.0312912213103943	0.0543780984231061	0.0300268791664854	0.0703700247348178	-0.00771115932454616	0.0620197510242656	0.0548306624817206	-0.021032784579996	0.0868543197757657	0.0426123136159877	-0.0530854271416146	-0.0788925754364012	-0.0764534044767592	0.00633211657886601	0.0208908177153313	0.0147482015082445	0.0953670139446859	-0.0386220009369776	0.0089307151934945	-0.0147707692119778	-0.0364467750069391	0.00301868143819777	-0.030317203017451	0.0130100898255928	-0.028853787835901	0.0205682541761185	0.00460737756822931	-0.0757448972217261	0.030875777879456	-0.0193682432928604	0.0019052742910166	-0.00375375841060098	-0.0260078006211757	0.0129698938359612	0.0238216128846543	0.0201768648562226	-0.018337659205552	-0.0111553664861258	-0.0338269146331483	0.00197717924179774	0.0175319163196898	0.0252177048395982	0.00677193020704212	-0.0220040492855263	0.0603852606928045	-0.0939491016577893	HC
HC1-19	0.00206916639392052	-0.00491720166649431	0.0117880861799687	-0.0100066110162354	0.0214580949010895	0.0149092130995459	0.00741584228898153	-0.0369711716174028	0.024138527136713	-0.0899289555558593	-0.110782801176688	0.0961193877619081	-0.0927967086522189	-0.103687572435376	0.0456886788859415	0.273408844819244	-0.0578653035291056	0.371159338106666	-0.00365648945175587	-0.210674992385637	0.260297068018737	0.107462233604971	0.0245506776651202	0.0805204088431744	0.222450494876357	-0.289668056787672	-0.190658758126305	0.113196200716964	0.196154517576896	-0.298856098999258	0.029077483067501	0.0160240671858521	0.0239606233734139	-0.343160203364333	0.03600492042384	-0.133463134675592	-0.0020992645627186	-0.0479272862471765	0.0159854281383968	-0.119483673694588	0.0424844163001751	-0.0650368194764994	0.0599063418582895	0.0263785112062524	0.0242577154289236	0.0243315130672004	0.0408450765577412	0.025043048580075	-0.0514882340140678	-0.0086358618927462	-0.0875833751278389	0.131463298793604	-0.0733442274220637	0.00347705471819814	0.0286213816949085	0.0280278730255963	-0.0530308388025483	0.0716773557083452	-0.0486488046520866	0.0385718900745974	0.0528804049977251	0.0209150598162279	-0.0347929195511692	-0.0752715478694768	0.0305274861605749	-0.056732092207904	0.0115643763026425	0.0537684450926604	-0.0714859541805249	0.0269670834510777	-0.0688210704292345	-0.0493950557851093	0.000467739846999221	0.046140669234789	-0.0181778815554569	0.0058198682374321	-0.0385517847231539	-0.0040453198880962	-0.0162433510531308	-0.00888890243359386	0.0426683379362071	0.0127215818934098	-0.0235617320451195	-0.0152971453782816	-0.0337371510145928	0.0510378401733498	-0.00792635966095823	0.00832942349949039	-0.00662655860909751	0.0183433366702336	0.068720687868637	-0.00530409975070266	0.0236509543287959	-0.0135430302924908	0.0175934368586993	-0.0089390830445286	-0.0429693400815704	0.0225165563006808	0.0141148778620278	-0.0307698915090717	0.0212457361226705	0.0466395213320986	-0.00967652025877909	-0.00154990915085353	0.0176695294886724	0.0422074370706192	-0.0367402121858846	-0.0155660106575154	-0.0578707358818834	0.0596715535723072	0.0061600392633865	0.0164491716050842	-0.00608146928403154	-0.0929464844805492	HC
HC1-2B-L5	-0.112555221516112	-0.041457562330355	-0.162641322523998	-0.0465027866473678	-0.0210467009673969	0.00510079835377063	-0.188867931356266	0.10121874004832	-0.00975636736328293	0.0166480964402828	0.0495904479651408	-0.00546809377736647	-0.0205266955647537	-0.0160080246725988	-0.0265710923376961	0.0119907651062828	-0.0412922659400703	-0.0281666453624097	-0.0660174154882284	0.126658205059922	0.169160210300667	0.22816020802428	-0.126538784700096	0.0750767569533262	-0.0397681505400904	-0.0948936141752813	-0.124171320534791	-0.000300238115761607	0.0858151375425969	0.0978576294490121	0.0212091839234723	-0.0542839116996111	-0.0879247474923767	0.0459154185926904	-0.154208027112319	0.169516169641309	0.0989492712586214	-0.0390813728475284	-0.251635888060034	0.135146292649146	0.148493230897894	0.0725421770295262	0.150495569802956	0.0750288468865587	-0.165624811906868	0.032909444888632	0.0548530589952924	0.00906141530068008	0.0617824892227389	-0.0891396523273073	0.15594809242859	-0.0364501750385113	0.0407668527407556	-0.0188100227084894	-0.0918466265835962	0.0420301559649089	0.0780814647784259	-0.010354884616561	-0.0306986970766793	0.0401103224814541	0.0733404807510245	0.0307443495820425	-0.037749662487035	0.00266328305691544	-0.0241223262999825	-0.0859396684139258	-0.0414182244006933	-0.0798133115799699	0.0259038977610461	-0.0746073028304059	-0.123880192757985	-0.0677287016389008	0.0873100880427248	0.123445444872037	0.0786386519396794	0.205929497158615	-0.0186225392644587	-0.102578043470921	0.119111027497295	-0.102311200460703	-0.00652209314776481	0.0042221188632818	0.220401986500816	-0.151421046936071	-0.0296486771633553	-0.0689586390718902	-0.089309106772532	0.0290203272062671	-0.132621115727386	0.0639639447851357	-0.115175264443894	0.0158198721248218	0.071738088146085	0.12805322115406	-0.132769641382501	-0.00944935722379865	-0.194287936199266	-0.112692167263334	0.0309000920196288	-0.0154435135616875	0.0367529741930081	-0.0051856661932833	-0.0471275502731626	0.108980435273287	0.0319745134923865	0.121607277528116	0.047219655348201	0.0459503202810611	0.0287565530255865	0.0132281349883121	-0.0353437900687969	-0.0555634844959041	0.122711531989219	-0.093415803893694	HC
HC1-3	-0.08268845040775	0.00862224417419166	0.213197297743586	-0.196770843495546	-0.087955413846648	0.0427580822817662	0.00171913339988308	0.0471050647944256	0.01452362945553	0.0421887187066495	0.0144603187772625	-0.0240709548872575	0.00894663687675672	-0.0690621149547438	0.0422718969901008	-0.0177433375349064	0.0195480780765636	-0.0074719560571107	-0.0274511002779078	0.0906792006324276	-0.07294351279151	0.0520210650219536	0.0266576905867256	0.138996358307763	-0.0651307553533032	0.0359647882971374	0.0335682086762265	-0.0393383971994875	0.0804930186147426	-0.0624460420373278	0.0180776805361104	0.0566795161959558	-0.0664625785970722	-0.0394033070991449	-0.0777902902160016	0.00975244100586649	-0.0445763611834029	-0.0671949086715816	0.0573762175094966	-0.118605216205126	0.187690851311559	0.0222172458305497	-0.136719639359769	-0.087454137861106	0.166026145299794	0.129063617263039	-0.0820954398237449	0.0611635920311996	0.0823822708990124	0.00907774771215045	0.16572902519102	-0.279081456779319	-0.142598716853679	-0.0809405660511977	0.0752174300547437	0.0831361010667015	-0.105087302037204	-0.0154841564563764	-0.0244542495982624	0.0149477294565182	0.11170437488837	-0.0116628936795892	0.0678649008217266	0.0556843076157995	0.396967912243518	-0.191081806455494	-0.0152423665082067	0.202982331619277	0.0279244653546171	0.102974703965246	0.0285286299035649	0.0591828023920573	0.0439491891701997	0.0395452031265123	-0.0619361722437104	-0.0966403876034053	-0.0330323354187672	-0.136145902578629	0.0489219027598301	0.0167208915961223	0.110147410750528	-0.0397969750182627	0.0545015572327094	0.0489192261372534	-0.075393121235489	-0.122868635601545	-0.158780947251146	0.0749454658628395	-0.0139577163306021	-0.135111168747941	-0.0293959333735765	-0.0523859015299753	0.0327431530279731	0.0324885732543201	0.0734921444417775	-0.142674143733623	0.027185815510831	-0.041233455665632	0.096647598562996	-0.0382746322498803	0.00437614315894281	-0.138774994389421	0.0206005025163234	-0.0033966701724816	0.129237148272445	-0.0280770125497145	-0.0162608041726541	-0.0770335642227442	0.033904060716832	-0.0303178541481782	0.107273444840705	0.0193201068519709	-0.0226747109891314	-0.0949321792148207	HC
HC1-4	-0.0882217759901179	0.0163194785110352	0.0600191181151414	0.160145086455265	-0.0431514943527456	0.0185481027861695	-0.0389789123225716	-0.0118315258675869	0.0147368465142922	-0.211560028838033	-0.118356876801459	-0.00591533037074735	0.156775808232233	0.0455674716093793	0.00888561433189918	0.170047540790684	0.0725810116102915	0.268268046383207	0.0924505404282151	-0.0122798767759372	-0.161115310968782	0.0247795796647486	-0.00816810259284552	-0.0116636793065681	-0.137231862188012	-0.0645635431819829	-0.104969575911398	0.0759430850744038	-0.271052698558299	0.143588811242353	-0.297367873700055	0.000819556057698717	0.10762000949532	-0.0626617545827009	-0.0730843675817565	0.228616726270891	-0.0328562928430526	0.104296867134398	0.00324701041271891	-0.0531173653001124	0.208670516665078	-0.0368031117226772	-0.0274036895832805	-0.217868554610694	-0.0182555575153251	-0.162403130069021	-0.0321619299029016	0.0518747976944527	0.0878853345767621	-0.0488460406308467	0.0650484164353772	-0.0293658606161982	0.074805554387263	-0.0691229994582209	0.0994873444228844	-0.0321156110419839	0.0381427750790763	-0.0493811557804207	-0.170936192615461	-0.0816259111003927	0.0638941848547282	0.0264508323771472	-0.0196492511347716	0.0820315763204243	-0.0834615388374951	-0.0689381435427737	0.0288664976075076	0.142738415137923	-0.0027767090427463	0.0993237659543811	0.0108778855887228	0.118498263610522	-0.0982126659691403	0.0178022290508363	0.099500453802403	-0.0443903157254941	-0.0966379701540404	0.155996211683359	0.059806163803043	-0.0337609613801723	-0.109901478085594	0.00178949743048946	0.0521937139993142	0.0496807903944314	0.0411696824778195	0.00707262077677489	0.090668332816887	0.0532967361756355	-0.0105170192316617	0.0118806485061153	-0.00689589445431545	-0.0530045687180158	-0.0227503578510891	0.100519966210911	-0.0545996764122691	0.044606646394963	0.0401740259675001	-0.0720802459753201	-0.127831686785212	0.0271355622394777	-0.0387813513391821	0.0667649324877598	0.0189084475708948	0.00992177597094562	0.00163192757698299	-0.00964204416659577	0.015581380371765	-0.0106921418186737	0.0270930529395641	0.0471296830210907	0.010637417916497	-0.0320433208693168	0.00726178651825514	-0.093030123877692	HC
