Quant_Varia	contig	start.bin	end.bin	Pst_Values
Contig0_39000_40000	Contig0	39000	40000	0.0229240555508444
Contig0_64000_65000	Contig0	64000	65000	0.0189077413124044
Contig0_71000_72000	Contig0	71000	72000	0.613630567871362
Contig100_57000_58000	Contig100	57000	58000	0.067008101478262
Contig100009_0_1000	Contig100009	0	1000	0.3807635021345
Contig100023_8000_8157	Contig100023	8000	8157	0.282316600692622
Contig100024_0_1000	Contig100024	0	1000	0.25526086561064
Contig100073_0_1000	Contig100073	0	1000	0.528853451046856
Contig100117_1000_2000	Contig100117	1000	2000	0.203553125250696
Contig100137_0_1000	Contig100137	0	1000	0.399471620304662
Contig100139_0_1000	Contig100139	0	1000	0.0580628580039142
Contig100164_0_1000	Contig100164	0	1000	0.617484366177001
Contig100164_1000_2000	Contig100164	1000	2000	0.00925343882073013
Contig100188_0_1000	Contig100188	0	1000	0.737697883622201
Contig100188_2000_3000	Contig100188	2000	3000	0.507793389593877
Contig100199_24000_25000	Contig100199	24000	25000	0.0682501114385254
Contig100231_3000_4000	Contig100231	3000	4000	0.336207058278581
Contig100231_4000_4182	Contig100231	4000	4182	0.543836656536589
Contig100242_4000_5000	Contig100242	4000	5000	0.063781731734078
Contig100247_5000_6000	Contig100247	5000	6000	0.0187764587132912
Contig100247_6000_6876	Contig100247	6000	6876	0.0602665999395174
Contig100267_6000_7000	Contig100267	6000	7000	0.609685387347355
Contig10027_0_1000	Contig10027	0	1000	0.0373675470806129
Contig100274_0_1000	Contig100274	0	1000	0.279363032233535
Contig100348_1000_2000	Contig100348	1000	2000	0.0415664720027487
Contig100348_2000_3000	Contig100348	2000	3000	0.136074219348821
Contig100353_1000_2000	Contig100353	1000	2000	0.000554704628356033
Contig100396_1000_2000	Contig100396	1000	2000	0.132170699090693
Contig100396_2000_3000	Contig100396	2000	3000	0.0410992443569261
Contig100499_2000_3000	Contig100499	2000	3000	0.150423262664518
Contig100522_5000_6000	Contig100522	5000	6000	0.00790330997077411
Contig100556_1000_2000	Contig100556	1000	2000	0.00549723112068416
Contig100578_1000_2000	Contig100578	1000	2000	0.215233158588223
Contig100586_12000_13000	Contig100586	12000	13000	0.775106420851842
Contig1006_12000_13000	Contig1006	12000	13000	0.0880097439836617
