"row","col","value"
1,1,0
2,1,66252.1162566745
3,1,63326.4707078669
4,1,61293.3577920059
5,1,72731.2909279469
6,1,64393.8958164237
7,1,64674.3615808263
8,1,61647.3024090613
9,1,68848.7188100311
10,1,64588.1842454134
11,1,63436.7252379588
12,1,75468.9084147101
13,1,62062.6325158426
14,1,60946.4385459417
15,1,61585.2861697132
16,1,61196.1289873634
17,1,62843.2969786156
18,1,64232.2223643032
1,2,66252.1162566745
2,2,0
3,2,64114.3092322168
4,2,60874.8075470278
5,2,71726.9656343957
6,2,70152.6408366322
7,2,64213.1602374315
8,2,65236.0427073188
9,2,70534.6597528433
10,2,66619.4526969902
11,2,65887.6344023671
12,2,74782.6084547499
13,2,63253.0978668988
14,2,63830.8573033166
15,2,63684.5200579264
16,2,64321.912394863
17,2,64481.3450627167
18,2,66049.1245858596
1,3,63326.4707078669
2,3,64114.3092322168
3,3,0
4,3,58478.7728135273
5,3,71155.8970336931
6,3,68447.2802555539
7,3,59986.6368711074
8,3,62803.7097689322
9,3,68581.2089699541
10,3,64535.9577132532
11,3,61769.0418347519
12,3,76040.0247252114
13,3,61236.6405392814
14,3,60781.9387998704
15,3,60180.6530624684
16,3,61962.0512297611
17,3,62646.4661596495
18,3,64872.0973798804
1,4,61293.3577920059
2,4,60874.8075470278
3,4,58478.7728135273
4,4,0
5,4,71482.2859179817
6,4,66395.2683277531
7,4,59747.3174484373
8,4,59015.6137450438
9,4,68873.8979246879
10,4,62859.7280044858
11,4,58716.355359281
12,4,76514.1328533147
13,4,59935.1801149008
14,4,58958.6484029202
15,4,56365.9040951677
16,4,60734.7727617907
17,4,60100.4109177986
18,4,63581.4165977759
1,5,72731.2909279469
2,5,71726.9656343957
3,5,71155.8970336931
4,5,71482.2859179817
5,5,0
6,5,75048.6737918213
7,5,67495.3655793744
8,5,74586.464006354
9,5,73111.544873719
10,5,70927.9284608435
11,5,73406.0926214678
12,5,74996.1273962113
13,5,70299.5665205835
14,5,71327.4066189006
15,5,73627.5529785483
16,5,71063.6718235813
17,5,71962.1329293568
18,5,70504.0374760958
1,6,64393.8958164237
2,6,70152.6408366322
3,6,68447.2802555539
4,6,66395.2683277531
5,6,75048.6737918213
6,6,0
7,6,70565.3573232905
8,6,65162.8768082595
9,6,73601.4207830288
10,6,70117.9888048912
11,6,68951.0161251589
12,6,78371.4269697191
13,6,66271.1596800198
14,6,66853.8517795895
15,6,67202.5401542871
16,6,68162.3587523508
17,6,67766.6207441885
18,6,69278.2685787196
1,7,64674.3615808263
2,7,64213.1602374315
3,7,59986.6368711074
4,7,59747.3174484373
5,7,67495.3655793744
6,7,70565.3573232905
7,7,0
8,7,65023.8782967572
9,7,68148.9303003867
10,7,63417.002082229
11,7,62329.8093754964
12,7,76178.0220057119
13,7,61760.156145523
14,7,60973.8457669226
15,7,60572.293203422
16,7,62172.6486106058
17,7,62566.9131508232
18,7,64609.5862421529
1,8,61647.3024090613
2,8,65236.0427073188
3,8,62803.7097689322
4,8,59015.6137450438
5,8,74586.464006354
6,8,65162.8768082595
7,8,65023.8782967572
8,8,0
9,8,72470.3344242021
10,8,66762.719243948
11,8,61810.260377396
12,8,78218.9211763324
13,8,61529.7347543989
14,8,61307.0692218122
15,8,58208.8286684166
16,8,62895.6986247944
17,8,60869.1567046867
18,8,65996.2189693918
1,9,68848.7188100311
2,9,70534.6597528433
3,9,68581.2089699541
4,9,68873.8979246879
5,9,73111.544873719
6,9,73601.4207830288
7,9,68148.9303003867
8,9,72470.3344242021
9,9,0
10,9,66890.189948966
11,9,69852.8081488502
12,9,74319.4235653481
13,9,65178.918360885
14,9,65162.4720090681
15,9,69248.0563504937
16,9,66419.1498557091
17,9,67027.661041266
18,9,66909.4254413585
1,10,64588.1842454134
2,10,66619.4526969902
3,10,64535.9577132532
4,10,62859.7280044858
5,10,70927.9284608435
6,10,70117.9888048912
7,10,63417.002082229
8,10,66762.719243948
9,10,66890.189948966
10,10,0
11,10,57562.8092492509
12,10,69048.8427103744
13,10,56378.0096085119
14,10,56871.7626923203
15,10,60111.9112106152
16,10,57074.6231517206
17,10,59368.2689502719
18,10,60441.642709441
1,11,63436.7252379588
2,11,65887.6344023671
3,11,61769.0418347519
4,11,58716.355359281
5,11,73406.0926214678
6,11,68951.0161251589
7,11,62329.8093754964
8,11,61810.260377396
9,11,69852.8081488502
10,11,57562.8092492509
11,11,0
12,11,74651.343987971
13,11,54607.0905208991
14,11,54672.6004286112
15,11,53767.5385630165
16,11,53999.6667804575
17,11,58360.2369821679
18,11,60796.8932814687
1,12,75468.9084147101
2,12,74782.6084547499
3,12,76040.0247252114
4,12,76514.1328533147
5,12,74996.1273962113
6,12,78371.4269697191
7,12,76178.0220057119
8,12,78218.9211763324
9,12,74319.4235653481
10,12,69048.8427103744
11,12,74651.343987971
12,12,0
13,12,67091.3282586236
14,12,69259.3474337393
15,12,74938.8472139784
16,12,71216.9360270388
17,12,72534.9263811893
18,12,67153.5942380479
1,13,62062.6325158426
2,13,63253.0978668988
3,13,61236.6405392814
4,13,59935.1801149008
5,13,70299.5665205835
6,13,66271.1596800198
7,13,61760.156145523
8,13,61529.7347543989
9,13,65178.918360885
10,13,56378.0096085119
11,13,54607.0905208991
12,13,67091.3282586236
13,13,0
14,13,52530.1324183226
15,13,55325.3740844257
16,13,52486.8400293704
17,13,57257.4266388244
18,13,54710.8587863856
1,14,60946.4385459417
2,14,63830.8573033166
3,14,60781.9387998704
4,14,58958.6484029202
5,14,71327.4066189006
6,14,66853.8517795895
7,14,60973.8457669226
8,14,61307.0692218122
9,14,65162.4720090681
10,14,56871.7626923203
11,14,54672.6004286112
12,14,69259.3474337393
13,14,52530.1324183226
14,14,0
15,14,53912.5564644612
16,14,51609.4103094684
17,14,57213.2681788508
18,14,56471.2911992246
1,15,61585.2861697132
2,15,63684.5200579264
3,15,60180.6530624684
4,15,56365.9040951677
5,15,73627.5529785483
6,15,67202.5401542871
7,15,60572.293203422
8,15,58208.8286684166
9,15,69248.0563504937
10,15,60111.9112106152
11,15,53767.5385630165
12,15,74938.8472139784
13,15,55325.3740844257
14,15,53912.5564644612
15,15,0
16,15,54413.8677016217
17,15,56267.1783947391
18,15,62346.853002097
1,16,61196.1289873634
2,16,64321.912394863
3,16,61962.0512297611
4,16,60734.7727617907
5,16,71063.6718235813
6,16,68162.3587523508
7,16,62172.6486106058
8,16,62895.6986247944
9,16,66419.1498557091
10,16,57074.6231517206
11,16,53999.6667804575
12,16,71216.9360270388
13,16,52486.8400293704
14,16,51609.4103094684
15,16,54413.8677016217
16,16,0
17,16,57370.8809279887
18,16,59372.7452679169
1,17,62843.2969786156
2,17,64481.3450627167
3,17,62646.4661596495
4,17,60100.4109177986
5,17,71962.1329293568
6,17,67766.6207441885
7,17,62566.9131508232
8,17,60869.1567046867
9,17,67027.661041266
10,17,59368.2689502719
11,17,58360.2369821679
12,17,72534.9263811893
13,17,57257.4266388244
14,17,57213.2681788508
15,17,56267.1783947391
16,17,57370.8809279887
17,17,0
18,17,60756.073230463
1,18,64232.2223643032
2,18,66049.1245858596
3,18,64872.0973798804
4,18,63581.4165977759
5,18,70504.0374760958
6,18,69278.2685787196
7,18,64609.5862421529
8,18,65996.2189693918
9,18,66909.4254413585
10,18,60441.642709441
11,18,60796.8932814687
12,18,67153.5942380479
13,18,54710.8587863856
14,18,56471.2911992246
15,18,62346.853002097
16,18,59372.7452679169
17,18,60756.073230463
18,18,0
