id	contig	locus	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	coverage1	coverage2	coverage3	coverage4	coverage5	coverage6	coverage7	coverage8	coverage9	coverage10	coverage11	coverage12	coverage13	coverage14	coverage15	coverage16	coverage17	coverage18
Contig1059_31143	Contig1059	31143	18	2.186e-01	-3.924e-01	9.636e-02	4.659e-05	7.528e-01	2.406e-01	1.485e+01	2.040e+01	7.812e+00	1.613e+00	2.691e+00	5.585e-01	0.0858320857123618	4.659e-05	TRUE	29	25	26	27	14	10	30	26	25	29	42	17	43	44	47	49	36	25
Contig10592_247	Contig10592	247	18	2.887e-01	-5.177e-01	1.040e-01	6.432e-07	6.150e-01	2.529e-01	8.052e+00	1.253e+01	9.670e+00	2.171e+00	3.009e+00	6.639e-01	0.00529280000357058	6.432e-07	TRUE	9	10	24	12	8	3	13	19	12	25	40	11	22	23	44	30	23	18
Contig107703_2906	Contig107703	2906	18	3.441e-01	-5.182e-01	1.218e-01	2.085e-05	4.065e-01	2.575e-01	2.930e+00	5.353e+00	6.113e+00	1.743e+00	4.115e+00	7.688e-01	0.0583501859218573	2.085e-05	TRUE	15	13	24	19	6	14	12	17	21	17	29	10	28	28	20	27	16	11
Contig109522_3554	Contig109522	3554	18	1.766e-01	5.163e-01	1.120e-01	4.04e-06	8.966e-01	3.930e-02	6.724e+01	3.133e+01	-7.309e+00	2.472e+00	-2.467e+00	4.217e-01	0.0229542976476776	4.04e-06	TRUE	13	11	16	16	5	12	14	6	14	12	17	14	23	30	23	29	10	17
Contig118194_2767	Contig118194	2767	18	2.335e-01	-7.076e-01	1.688e-01	2.773e-05	6.364e-01	2.663e-01	3.458e+01	4.156e+01	1.286e+01	3.015e+00	4.280e+00	9.263e-01	0.0650364036402779	2.773e-05	TRUE	18	13	13	23	10	7	13	12	20	21	23	9	23	12	21	34	24	16
Contig123099_987	Contig123099	987	18	1.855e-01	-4.260e-01	9.825e-02	1.456e-05	8.393e-01	1.233e-01	5.921e+01	3.618e+01	7.282e+00	2.094e+00	1.204e+00	2.993e-01	0.0504436703031547	1.456e-05	TRUE	15	15	14	12	8	4	16	15	13	18	32	11	27	35	28	31	22	18
Contig131341_6320	Contig131341	6320	18	1.695e-01	4.487e-01	1.042e-01	1.649e-05	8.436e-01	9.088e-02	7.522e+01	3.616e+01	-8.091e+00	2.956e+00	-8.543e-01	6.787e-01	0.0508614639037756	1.649e-05	TRUE	13	10	12	9	12	10	12	4	12	11	6	10	16	19	25	15	14	7
Contig132_51449	Contig132	51449	18	2.681e-01	5.133e-01	1.149e-01	7.89e-06	7.950e-01	2.113e-01	9.143e+00	1.464e+01	-4.901e+00	2.184e+00	-1.192e+00	3.369e-01	0.0340700867362708	7.89e-06	TRUE	15	16	19	19	16	14	22	19	17	10	11	13	16	15	19	19	9	14
Contig148559_191	Contig148559	191	18	2.414e-01	6.171e-01	1.500e-01	3.863e-05	6.584e-01	2.647e-01	2.428e+01	2.690e+01	-1.810e+00	2.351e+00	-3.753e+00	7.334e-01	0.0801969052002377	3.863e-05	TRUE	11	11	14	16	6	10	16	11	18	17	21	15	14	9	17	8	11	7
Contig160335_582	Contig160335	582	18	2.346e-01	-3.042e-01	7.189e-02	2.327e-05	8.665e-01	1.362e-01	1.112e+01	1.324e+01	1.017e+01	1.657e+00	9.168e-02	2.717e-01	0.0628018788302457	2.327e-05	TRUE	12	9	15	19	6	8	16	11	17	24	28	12	29	20	22	37	18	11
Contig16284_2354	Contig16284	2354	18	1.884e-01	3.384e-01	8.093e-02	2.893e-05	8.617e-01	4.756e-02	6.716e+01	3.201e+01	-1.043e+01	2.353e+00	-8.806e-01	5.366e-01	0.0650364036402779	2.893e-05	TRUE	17	17	23	28	14	14	27	17	21	23	7	15	22	26	24	23	19	14
Contig17393_21091	Contig17393	21091	18	1.948e-01	-4.543e-01	1.060e-01	1.826e-05	9.189e-01	8.560e-02	3.655e+01	3.196e+01	6.673e+00	2.469e+00	3.496e+00	5.448e-01	0.0532764518723927	1.826e-05	TRUE	12	13	13	15	10	13	13	18	14	14	17	9	14	21	20	17	14	13
Contig17598_79516	Contig17598	79516	18	2.199e-01	7.319e-01	1.693e-01	1.542e-05	8.465e-01	1.789e-01	1.892e+01	2.219e+01	-5.639e+00	3.264e+00	-2.125e+00	5.804e-01	0.0504436703031547	1.542e-05	TRUE	19	15	11	12	13	7	13	15	18	10	4	11	25	20	6	15	10	12
Contig17651_1121	Contig17651	1121	18	1.983e-01	-6.740e-01	1.286e-01	1.596e-07	8.530e-01	5.626e-02	4.564e+01	2.839e+01	9.039e+00	2.801e+00	1.163e+00	6.381e-01	0.00166248205240358	1.596e-07	TRUE	26	15	8	16	15	11	18	15	17	18	6	15	15	20	21	19	14	10
Contig18103_25767	Contig18103	25767	18	3.319e-01	4.504e-01	9.956e-02	6.081e-06	6.703e-01	2.628e-01	6.153e+00	1.210e+01	-2.904e+00	2.166e+00	-7.596e-01	5.844e-01	0.0273526876641401	6.081e-06	TRUE	14	14	9	14	11	6	19	9	16	18	16	8	24	24	22	24	16	14
Contig18383_4606	Contig18383	4606	18	1.977e-01	-4.326e-01	1.035e-01	2.927e-05	9.043e-01	1.427e-01	4.006e+01	3.440e+01	8.731e+00	1.866e+00	3.104e+00	6.956e-01	0.0650364036402779	2.927e-05	TRUE	16	15	3	6	5	6	11	12	15	20	12	10	20	26	29	31	21	16
