"","contig_gene","start_gene","end_gene","Contig100994","3427","3429","-31"
"1","Contig103503",7053,7055,"Contig103503",7053,7055,-36
"2","Contig1245",9228,9230,"Contig1245",9228,9230,-55
"3","Contig128973",13427,13429,"Contig128973",13427,13429,-51
"4","Contig1297",49910,49912,"Contig1297",49910,49912,25
"5","Contig143",19460,19462,"Contig143",19460,19462,40
"6","Contig144141",3057,3059,"Contig144141",3057,3059,-37
"7","Contig144141",3187,3189,"Contig144141",3187,3189,-39
"8","Contig152",9376,9378,"Contig152",9376,9378,-39
"9","Contig15653",3558,3560,"Contig15653",3558,3560,-55
"10","Contig16846",5620,5622,"Contig16846",5620,5622,-28
"11","Contig17101",23960,23962,"Contig17101",23960,23962,45
"12","Contig17101",29519,29521,"Contig17101",29519,29521,-43
"13","Contig17564",25282,25284,"Contig17564",25282,25284,-29
"14","Contig17564",26782,26784,"Contig17564",26782,26784,-29
"15","Contig17598",70082,70084,"Contig17598",70082,70084,26
"16","Contig17603",65410,65412,"Contig17603",65410,65412,-51
"17","Contig17603",65515,65517,"Contig17603",65515,65517,31
"18","Contig17603",66710,66712,"Contig17603",66710,66712,-66
"19","Contig17603",66802,66804,"Contig17603",66802,66804,-40
"20","Contig17650",1833,1835,"Contig17650",1833,1835,28
"21","Contig18716",57393,57395,"Contig18716",57393,57395,43
"22","Contig19003",17906,17908,"Contig19003",17906,17908,32
"23","Contig19277",42016,42018,"Contig19277",42016,42018,-44
"24","Contig19486",12979,12981,"Contig19486",12979,12981,37
"25","Contig20569",28901,28903,"Contig20569",28901,28903,-42
"26","Contig22092",7121,7123,"Contig22092",7121,7123,27
"27","Contig22790",18521,18523,"Contig22790",18521,18523,26
"28","Contig22790",18521,18523,"Contig22790",18521,18523,26
"29","Contig23065",230,232,"Contig23065",230,232,-29
"30","Contig23065",2274,2276,"Contig23065",2274,2276,-40
"31","Contig25952",11184,11186,"Contig25952",11184,11186,-60
"32","Contig26006",1501,1503,"Contig26006",1501,1503,41
"33","Contig26041",796,798,"Contig26041",796,798,25
"34","Contig26879",5285,5287,"Contig26879",5285,5287,-25
"35","Contig2703",3608,3610,"Contig2703",3608,3610,-34
"36","Contig27574",27590,27592,"Contig27574",27590,27592,-44
"37","Contig2935",4855,4857,"Contig2935",4855,4857,36
"38","Contig295049",2122,2124,"Contig295049",2122,2124,34
"39","Contig29971",20279,20281,"Contig29971",20279,20281,-41
"40","Contig30989",5423,5425,"Contig30989",5423,5425,31
"41","Contig31893",4209,4211,"Contig31893",4209,4211,49
"42","Contig32627",2183,2185,"Contig32627",2183,2185,35
"43","Contig32656",11901,11903,"Contig32656",11901,11903,25
"44","Contig32850",5906,5908,"Contig32850",5906,5908,-30
"45","Contig32939",16456,16458,"Contig32939",16456,16458,26
