id	contig	locus	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	numCs1	numCs2	numCs3	numCs4	numCs5	numCs6	numCs7	numCs8	numCs9	numCs10	numCs11	numCs12	numCs13	numCs14	numCs15	numCs16	numCs17	numCs18
Contig1059_31143	Contig1059	31143	18	2.186e-01	-3.924e-01	9.636e-02	4.659e-05	7.528e-01	2.406e-01	1.485e+01	2.040e+01	7.812e+00	1.613e+00	2.691e+00	5.585e-01	0.0858320857123618	4.659e-05	TRUE	28	25	24	27	14	9	30	26	25	29	42	17	40	42	45	45	36	25
Contig10592_247	Contig10592	247	18	2.887e-01	-5.177e-01	1.040e-01	6.432e-07	6.150e-01	2.529e-01	8.052e+00	1.253e+01	9.670e+00	2.171e+00	3.009e+00	6.639e-01	0.00529280000357058	6.432e-07	TRUE	9	10	23	12	6	3	12	18	12	25	40	11	21	20	40	27	23	18
Contig107703_2906	Contig107703	2906	18	3.441e-01	-5.182e-01	1.218e-01	2.085e-05	4.065e-01	2.575e-01	2.930e+00	5.353e+00	6.113e+00	1.743e+00	4.115e+00	7.688e-01	0.0583501859218573	2.085e-05	TRUE	15	12	21	16	5	12	12	17	17	17	29	10	24	23	19	23	15	11
Contig109522_3554	Contig109522	3554	18	1.766e-01	5.163e-01	1.120e-01	4.04e-06	8.966e-01	3.930e-02	6.724e+01	3.133e+01	-7.309e+00	2.472e+00	-2.467e+00	4.217e-01	0.0229542976476776	4.04e-06	TRUE	6	10	16	15	5	12	10	1	6	11	14	13	23	30	13	28	0	8
Contig118194_2767	Contig118194	2767	18	2.335e-01	-7.076e-01	1.688e-01	2.773e-05	6.364e-01	2.663e-01	3.458e+01	4.156e+01	1.286e+01	3.015e+00	4.280e+00	9.263e-01	0.0650364036402779	2.773e-05	TRUE	18	13	13	22	9	6	13	12	20	21	23	9	23	12	20	34	23	16
Contig123099_987	Contig123099	987	18	1.855e-01	-4.260e-01	9.825e-02	1.456e-05	8.393e-01	1.233e-01	5.921e+01	3.618e+01	7.282e+00	2.094e+00	1.204e+00	2.993e-01	0.0504436703031547	1.456e-05	TRUE	14	14	11	11	4	0	16	15	8	16	30	4	24	17	0	27	0	13
Contig131341_6320	Contig131341	6320	18	1.695e-01	4.487e-01	1.042e-01	1.649e-05	8.436e-01	9.088e-02	7.522e+01	3.616e+01	-8.091e+00	2.956e+00	-8.543e-01	6.787e-01	0.0508614639037756	1.649e-05	TRUE	12	6	11	3	12	10	7	4	0	7	6	0	9	10	24	13	14	0
Contig132_51449	Contig132	51449	18	2.681e-01	5.133e-01	1.149e-01	7.89e-06	7.950e-01	2.113e-01	9.143e+00	1.464e+01	-4.901e+00	2.184e+00	-1.192e+00	3.369e-01	0.0340700867362708	7.89e-06	TRUE	13	14	18	17	16	14	20	18	16	9	11	9	14	15	19	19	9	11
Contig148559_191	Contig148559	191	18	2.414e-01	6.171e-01	1.500e-01	3.863e-05	6.584e-01	2.647e-01	2.428e+01	2.690e+01	-1.810e+00	2.351e+00	-3.753e+00	7.334e-01	0.0801969052002377	3.863e-05	TRUE	11	11	14	16	6	10	13	5	17	17	13	14	14	9	17	8	11	0
Contig160335_582	Contig160335	582	18	2.346e-01	-3.042e-01	7.189e-02	2.327e-05	8.665e-01	1.362e-01	1.112e+01	1.324e+01	1.017e+01	1.657e+00	9.168e-02	2.717e-01	0.0628018788302457	2.327e-05	TRUE	12	8	15	19	6	8	16	11	17	23	6	12	19	15	4	29	17	7
Contig16284_2354	Contig16284	2354	18	1.884e-01	3.384e-01	8.093e-02	2.893e-05	8.617e-01	4.756e-02	6.716e+01	3.201e+01	-1.043e+01	2.353e+00	-8.806e-01	5.366e-01	0.0650364036402779	2.893e-05	TRUE	0	10	16	13	9	0	14	0	0	0	0	0	0	0	16	1	0	0
