Contig1111:26038-28696	sp	O75602	SPAG6_HUMAN	85.185	81	12	0	245	3	398	478	1.01e-36	149
Contig52254:8907-11733	sp	Q9ERK0	RIPK4_MOUSE	31.720	186	125	2	52	603	477	662	1.43e-20	101
Contig103346:6130-16731	sp	Q96MM6	HS12B_HUMAN	32.609	368	231	7	1068	4	321	684	1.70e-50	196
Contig947:14347-18200	sp	Q9JHX2	SP5_MOUSE	52.941	221	65	6	648	94	176	393	7.41e-58	209
Contig1175:1301-21360	sp	P62489	RPB7_RAT	90.909	55	5	0	7005	6841	41	95	7.12e-23	102
Contig1175:8144-17508	sp	P62489	RPB7_RAT	90.741	54	5	0	162	1	41	94	8.40e-23	101
Contig31018:593-14654	sp	Q6H236	PEG3_BOVIN	31.579	171	98	3	1067	1576	1382	1534	1.11e-07	62.8
Contig1258:13884-35994	sp	Q8BG51	MIRO1_MOUSE	67.647	68	20	1	3767	3570	377	444	3.26e-16	90.5
Contig70405:3973-8495	sp	P24461	CP2G1_RABIT	35.000	100	59	2	4205	4492	7	104	7.97e-13	76.6
Contig60108:40-11731	sp	Q9UHC1	MLH3_HUMAN	41.053	285	163	3	4584	3742	72	355	1.27e-59	232
Contig67932:1160-6093	sp	O18373	SPS1_DROME	78.000	50	11	0	737	588	122	171	4.74e-17	89.0
Contig35493:734-1849	sp	Q80WQ9	ZBED4_MOUSE	42.857	70	40	0	217	426	654	723	7.35e-08	58.2
Contig47149:10001-10550	sp	P04792	HSPB1_HUMAN	41.573	89	51	1	291	28	94	182	5.39e-14	70.5
Contig56040:72-1837	sp	Q0GC71	TLR2_CAPHI	43.373	83	46	1	1460	1705	642	724	1.52e-12	74.3
Contig29497:13033-19602	sp	Q9GUM2	BRE4_CAEEL	68.966	58	18	0	1035	1208	194	251	3.18e-17	89.7
Contig22850:6858-8178	sp	Q964T1	CP4CU_BLAGE	53.448	58	27	0	359	186	424	481	1.07e-13	76.6
Contig53144:2895-14366	sp	Q92752	TENR_HUMAN	42.857	77	42	2	10871	11098	1268	1343	2.44e-09	67.8
Contig27784:2934-14799	sp	Q4KLE6	NT1AB_XENLA	40.493	284	103	3	11813	10962	6	223	2.08e-60	211
Contig1410:529-14734	sp	Q9P2G1	AKIB1_HUMAN	29.371	143	44	2	3183	3611	541	626	1.06e-13	82.4
Contig60382:3707-14190	sp	Q5UPG5	YL093_MIMIV	27.119	118	83	1	10094	10438	288	405	4.64e-07	59.3
Contig57659:561-4973	sp	P31939	PUR9_HUMAN	65.789	38	13	0	4299	4412	464	501	6.44e-08	61.2
Contig38648:5516-20246	sp	Q2HJ46	RNF8_BOVIN	53.846	78	35	1	7075	6842	411	487	1.48e-15	87.0
Contig16132:1784-3756	sp	Q24307	DIAP2_DROME	31.959	194	115	8	1325	1894	317	497	1.85e-17	89.4
Contig16132:8836-30907	sp	P43143	ACHA6_RAT	26.990	289	197	5	15292	16122	44	330	3.79e-35	147
Contig1647:4344-4690	sp	Q9V4U9	C6A13_DROME	51.064	47	23	0	346	206	412	458	9.45e-12	63.5
Contig563969:2183-2438	sp	Q8N7M0	TC1D1_HUMAN	43.373	83	47	0	252	4	97	179	4.89e-16	71.6
Contig22478:372-8311	sp	Q4H0T5	TFAM_TRACR	29.808	208	121	7	6460	7080	50	233	5.96e-11	68.9
Contig16768:10538-26498	sp	Q9I8C7	ACH10_CHICK	42.534	221	92	3	14707	15363	154	341	2.50e-48	185
Contig44658:413-3137	sp	F1NWE3	PTPRS_CHICK	68.085	47	15	0	1593	1733	1022	1068	2.84e-13	78.2
Contig26721:437-12351	sp	Q5SPF7	UN93A_DANRE	35.032	157	81	4	10957	11364	212	368	1.56e-15	86.7
Contig19573:576-3392	sp	Q4VBH4	UB2WA_DANRE	90.385	52	5	0	2661	2816	70	121	7.88e-24	102
Contig84112:130-7105	sp	Q8R323	RFC3_MOUSE	82.353	68	12	0	72	275	30	97	8.09e-29	124
