sample	mean	median	var	sd	max	population
coverage1	12.88	12	36.1	6.01	100	HC
coverage2	11.49	11	26.6	5.16	82	HC
coverage3	12.6	11	35.3	5.94	99	HC
coverage4	13.18	12	39.37	6.27	93	HC
coverage5	10.59	10	23.23	4.82	92	HC
coverage6	9.74	9	19.93	4.46	85	HC
coverage7	14	13	40.04	6.33	97	HC
coverage8	12.41	11	34.85	5.9	100	HC
coverage9	15.11	14	41.54	6.45	88	HC
coverage10	16.4	14	101.61	10.08	100	SS
coverage11	18.87	15	156.2	12.5	97	SS
coverage12	12.36	11	30.53	5.53	92	SS
coverage13	18.67	17	83.42	9.13	103	SS
coverage14	20.99	19	99.78	9.99	99	SS
coverage15	19.99	18	127.55	11.29	99	SS
coverage16	20.66	18	129.71	11.39	102	SS
coverage17	15.23	13	71.6	8.46	108	SS
coverage18	14.57	13	43.73	6.61	94	SS
