contig	pos	fst
Contig101655	12681	0.179039301310044
Contig101935	6468	0.354304635761589
Contig103053	1134	0.276595744680851
Contig103053	1136	0.276595744680851
Contig103346	16201	0.114666666666667
Contig104078	683	0.263913824057451
Contig104524	1642	0.497744360902256
Contig104524	1648	0.442622950819672
Contig105208	315	0.174061433447099
Contig105759	550	0.399527186761229
Contig106125	3829	0.272965879265092
Contig107089	2706	0.208812260536398
Contig107120	3263	0.511144130757801
Contig1091	3641	0.173076923076923
Contig109783	670	0.759020618556701
Contig1107	11046	0.180769230769231
Contig112828	139	0.228828828828829
Contig120378	211	0.310169491525424
Contig121049	2908	0.365025466893039
Contig122227	2742	0.170634920634921
Contig124392	4947	0.256590509666081
Contig126046	627	0.300911854103343
Contig1300	35280	0.330550918196995
Contig130770	938	0.381773399014778
Contig132330	2646	0.483231707317073
Contig133370	508	0.381773399014778
Contig135695	2081	0.213636363636364
Contig137	45698	0.360236220472441
Contig1382	13529	0.245238095238095
Contig1382	13534	0.247030878859857
Contig13988	2564	0.247011952191235
Contig142	43350	0.159763313609467
Contig1464	9852	0.452032520325203
Contig147962	294	0.445324881141046
Contig1491	14406	0.285425101214575
Contig150730	642	0.41958041958042
Contig150795	4642	0.296153846153846
Contig156710	385	0.128472222222222
Contig15912	3089	0.214797136038186
Contig1607	8412	0.26271186440678
Contig1607	8431	0.26271186440678
Contig16148	22080	0.570200573065903
Contig16240	7698	NA
Contig16387	14557	0.34974533106961
Contig165255	2452	0
Contig1680	5704	0.198697068403909
Contig16894	524	0.311740890688259
Contig16916	28884	0.408888888888889
Contig17004	12698	NA
Contig17544	9281	0.213991769547325
Contig178715	2251	0.300341296928328
Contig18485	6014	NA
Contig18776	53	0.400990099009901
Contig1888	4404	0.312807881773399
Contig19117	19120	0.235042735042735
Contig1930	22062	NA
Contig1971	2242	0.285992217898833
Contig19983	2532	0.30812324929972
Contig19997	7759	0.242105263157895
Contig202095	964	NA
Contig202095	973	0.204705882352941
Contig20388	32691	0.551020408163265
Contig20554	424	0.3515625
Contig20554	425	0.3515625
Contig20788	6228	0.273927392739274
Contig209666	722	0.265415549597855
Contig209816	2131	0.439153439153439
Contig209816	2151	0.5
Contig217340	66	0.801672640382318
Contig21806	2830	0.30550284629981
Contig21830	54268	0.164609053497942
Contig21876	6162	0.439153439153439
Contig22542	5018	0.129834254143646
Contig22638	9028	0.402555910543131
Contig22695	28082	0.218487394957983
Contig22911	18058	0.235915492957747
Contig231	20140	0.376221498371336
Contig231	20148	0.376221498371336
Contig231	32712	0.334459459459459
Contig23369	6637	0.399355877616747
Contig23544	58803	0.19496855345912
Contig23755	7925	NA
Contig24349	9051	0.171284634760705
Contig24693	10326	0.5
Contig25393	6471	0.344086021505376
Contig25837	991	NA
Contig25837	998	NA
Contig261	13875	0.226923076923077
Contig26147	5315	0.207017543859649
Contig26207	11203	NA
Contig26264	18936	0.136363636363636
Contig2679	6130	0.283018867924528
Contig26798	5482	0.287313432835821
Contig27290	43846	0.309927360774818
Contig27433	41096	0.239520958083832
Contig27496	14993	0.219219219219219
Contig27601	8041	0.178378378378378
Contig27901	5460	0.351535836177474
Contig282	39063	0.0517241379310345
Contig28358	37181	0.238859180035651
Contig28358	37199	0.178832116788321
Contig28392	13326	0.304347826086957
Contig28392	13338	0.293975903614458
Contig28569	3024	0.265795206971678
Contig28569	3034	0.265795206971678
Contig28574	1151	NA
Contig28761	20520	0.146341463414634
Contig28902	1476	0.328178694158076
Contig28902	1478	0.514200298953662
Contig29002	47082	0.176344086021505
Contig29033	27589	0.440715883668904
Contig29118	14567	0.297113752122241
Contig293	5077	0.451559934318555
Contig3	14914	0.252293577981651
Contig30118	20938	0.194706994328922
Contig31124	7124	0.289473684210526
Contig31700	35543	0.146341463414634
Contig32435	16575	0.191964285714286
Contig32441	3333	0.228828828828829
Contig32893	9442	0.353344768439108
Contig32893	9449	0.545718432510885
Contig32998	2645	0.355691056910569
Contig33030	40436	0.26271186440678
Contig33432	2277	0.367521367521368
Contig33974	5885	NA
Contig34604	2544	0.403389830508475
Contig346666	6197	NA
Contig34852	4019	0.350328947368421
Contig34981	26206	0.335078534031414
Contig35385	2521	0.444196428571429
Contig3547	11452	0.197044334975369
Contig3547	11455	0.197044334975369
Contig35546	312	0.178723404255319
Contig35850	4206	0.146341463414634
Contig36056	6135	0.332613390928726
Contig36131	2123	0.312621359223301
Contig36271	3884	0.282958199356913
Contig36401	1735	0.359205776173285
Contig36446	2976	0.242914979757085
Contig36816	4370	0.295254833040422
Contig36855	1037	0.30812324929972
Contig369276	558	0.275154004106776
Contig36963	18934	0.280645161290323
Contig372813	688	0.466996699669967
Contig37670	7859	0.395131086142322
Contig37865	24957	0.391915641476274
Contig38777	9235	0.219858156028369
Contig38798	5706	0.308823529411765
Contig38953	21610	0.496240601503759
Contig39782	10413	0.666666666666667
Contig39782	10415	0.692202462380301
Contig40071	13972	0.271137026239067
Contig41023	3995	0.226923076923077
Contig412716	6129	0.171296296296296
Contig4133	2703	0.248
Contig42417	318	0.289608177172061
Contig42640	3712	0.249363867684478
Contig42688	1586	0.256704980842912
Contig43152	2740	0.190283400809717
Contig432084	963	0.222007722007722
Contig433676	1838	0.195555555555556
Contig43940	435	0.157754010695187
Contig44171	5218	0.235483870967742
Contig44299	9795	0.433212996389892
Contig44299	9804	0.433212996389892
Contig44549	588	0.298932384341637
Contig4520	2154	0.322970639032815
Contig45462	16697	0.192592592592593
Contig46	17592	0.235294117647059
Contig462	15394	NA
Contig46254	21321	0.245562130177515
Contig46254	21323	0.242914979757085
Contig46376	7479	0.263551401869159
Contig47725	20737	0.218487394957983
Contig4810	2161	0.173913043478261
Contig49037	9909	0.419558359621451
Contig49876	6097	0.298780487804878
Contig50608	6351	0.368330464716007
Contig50657	261	0.486068111455108
Contig508	10122	0.290249433106576
Contig51149	38089	0.354570637119114
Contig51149	38098	0.354570637119114
Contig52190	3822	0.217758985200846
Contig53297	7768	0.297994269340974
Contig534	12570	0.348314606741573
Contig5353	3257	0.196428571428571
Contig54586	5442	0.399671052631579
Contig55228	3085	0.500749625187406
Contig55228	3093	0.500749625187406
Contig55522	9752	0.219123505976096
Contig55653	4319	0.305239179954442
Contig55818	10103	0.454198473282443
Contig56070	9476	NA
Contig56146	1016	0.678996036988111
Contig5877	2480	0.539579967689822
Contig5877	2490	0.488495575221239
Contig58864	4730	0.597222222222222
Contig59006	2586	0.293795620437956
Contig59246	11313	0.382428940568475
Contig60333	2935	0.578099838969404
Contig60490	7980	0.202898550724638
Contig60510	13831	0.659060402684564
Contig62578	11829	NA
Contig62682	29688	0.280120481927711
Contig63525	13545	0.423566878980892
Contig63525	13572	0.423566878980892
Contig64213	18401	0.18974358974359
Contig647	25180	0.201986754966887
Contig653	993	0.297113752122241
Contig65456	2577	0.421052631578947
Contig657446	39	0.302600472813239
Contig657446	41	0.326582278481013
Contig66605	1302	0.570796460176991
Contig67030	6395	0.501497005988024
Contig6711	2445	0.477203647416413
Contig67481	6319	NA
Contig67524	525	0.394871794871795
Contig68617	6760	0.294701986754967
Contig693	32818	0.694406548431105
Contig69801	1384	0.303149606299213
Contig69803	8948	0.430656934306569
Contig70143	2743	0.200488997555012
Contig70269	6707	0.413848631239936
Contig70496	199	0.644137931034483
Contig711	15205	NA
Contig71216	5845	0.397435897435897
Contig71785	3523	0.386690647482014
Contig72811	1966	0.291666666666667
Contig73055	2625	0.578947368421053
Contig74232	4785	0.190298507462687
Contig75	55993	0.20983606557377
Contig75586	1591	0.168181818181818
Contig75850	2743	0.249363867684478
Contig75850	2763	0.249363867684478
Contig76044	3303	0.56
Contig76309	1213	0.355339805825243
Contig76955	2140	0.395038167938931
Contig77382	11621	0.662411347517731
Contig7856	32	0.297570850202429
Contig78654	15786	0.127659574468085
Contig78926	887	0.617054263565891
Contig80818	2801	0.291161178509532
Contig81172	4070	0.12
Contig81614	6754	0.172248803827751
Contig81800	8713	0.146341463414634
Contig8245	2524	0.472783825816485
Contig85362	1176	0.444214876033058
Contig86117	3270	0.242914979757085
Contig86117	3283	0.242914979757085
Contig86507	14690	0.211363636363636
Contig86794	383	0.398584905660377
Contig86794	387	0.398584905660377
Contig87158	4985	0.273648648648649
Contig87245	3600	0.310405643738977
Contig87873	7578	0.441127694859038
Contig88717	4241	0.177536231884058
Contig90304	2809	0.438127090301003
Contig9101	2033	0.370051635111876
Contig92189	38401	0.343906510851419
Contig94106	1919	0.406099518459069
Contig96365	30715	0.25609756097561
Contig97258	9279	0.207584830339321
Contig97827	578	0.268211920529801
Contig99041	832	NA
