contig	start	start15	end15	end
Contig61093	7493	7560	7879	7946
Contig1111	24968	25527	28137	28696
Contig214118	201	309	818	926
Contig58217	9736	10006	11271	11541
Contig2046	2295	4709	15980	18394
Contig9540	4303	5184	9298	10179
Contig52254	8908	9331	11310	11733
Contig36645	2185	2358	3167	3340
Contig3008	532	1424	5590	6482
Contig67269	2369	3925	11187	12743
Contig103346	1245	1900	4963	5618
Contig103346	6131	7727	15180	16776
Contig947	14096	14582	16854	17340
Contig171994	2171	3243	8251	9323
Contig30499	822	2966	12976	15120
Contig30499	16193	17883	25773	27463
Contig1175	8145	9549	16104	17508
Contig31018	15902	16500	19293	19891
Contig31018	20125	22416	33111	35402
Contig31018	4791	6397	13892	15498
Contig31018	2172	3939	12185	13952
Contig1258	13171	15553	26671	29053
Contig70405	3974	4652	7817	8495
Contig35449	10621	10674	10927	10980
Contig60108	41	1794	9978	11731
Contig67932	1161	1693	4178	4710
Contig2732	10353	11710	18049	19406
Contig47149	10002	10084	10468	10550
Contig56040	73	337	1573	1837
Contig48951	324	1599	7549	8824
Contig29497	6829	9611	22594	25376
Contig22850	6739	6954	7963	8178
Contig53144	2896	4570	12382	14056
Contig111262	940	1462	3902	4424
Contig27784	397	1951	9207	10761
Contig27784	13896	14032	14672	14808
Contig1410	533	2663	12604	14734
Contig60382	3708	5280	12618	14190
Contig3830	1973	2252	3554	3833
Contig52611	10	400	2223	2613
Contig57659	562	1223	4312	4973
Contig38648	5515	7724	18037	20246
Contig16132	1774	3293	10388	11907
Contig16132	8723	10793	20457	22527
Contig126506	1312	2110	5839	6637
Contig1647	4277	4338	4629	4690
Contig53	47015	47992	52554	53531
Contig53	25835	27475	35134	36774
Contig53	20853	21159	22591	22897
Contig53	9082	9983	14191	15092
Contig2160	843	2484	10148	11789
Contig2160	13916	14285	16010	16379
Contig563969	2184	2222	2400	2438
Contig108808	7751	7792	7988	8029
Contig22478	373	1565	7133	8325
Contig4192	1518	1965	4056	4503
Contig4192	5218	6703	13637	15122
Contig6693	12219	12713	15024	15518
Contig58318	5742	5789	6009	6056
Contig21095	6719	7566	11521	12368
Contig21095	1066	1528	3686	4148
Contig85053	1151	1502	3142	3493
Contig534396	169	588	2545	2964
Contig165570	523	695	1501	1673
Contig16768	11343	13646	24398	26701
Contig44658	414	822	2729	3137
Contig108044	46	879	4770	5603
Contig47186	129	1430	7506	8807
Contig5404	227	425	1355	1553
Contig115574	389	564	1386	1561
Contig57598	19575	19991	21938	22354
Contig57598	3538	5807	16396	18665
Contig22426	216	2247	11726	13757
Contig26721	438	1942	8967	10471
Contig26721	15330	16138	19910	20718
Contig21515	187	317	924	1054
Contig19573	577	999	2970	3392
Contig76295	1149	2814	10584	12249
Contig76295	16982	17650	20769	21437
Contig84112	131	1178	6065	7112
Contig30251	3231	3465	4560	4794
Contig57059	5380	7363	16620	18603
Contig67667	1886	3841	12969	14924
Contig57447	153	561	2470	2878
Contig5570	2072	2448	4207	4583
Contig27448	1373	3256	12046	13929
Contig27448	18436	18988	21567	22119
Contig27448	6608	8764	18828	20984
Contig35318	16148	17912	26150	27914
Contig52697	8310	8377	8696	8763
Contig41665	4666	4807	5469	5610
Contig40601	129	334	1291	1496
Contig34768	188	1101	5364	6277
Contig26161	3792	4761	9286	10255
Contig26161	17	207	1095	1285
Contig31702	5950	6278	7815	8143
Contig65199	2749	2930	3776	3957
Contig24121	18197	19818	27386	29007
Contig96061	2082	2208	2798	2924
Contig42636	140	407	1659	1926
Contig65176	1809	2526	5875	6592
Contig107073	3738	3895	4629	4786
Contig138851	403	856	2974	3427
Contig59870	13787	14256	16451	16920
Contig122830	164	393	1467	1696
Contig217842	3502	3591	4008	4097
Contig41967	19395	19542	20231	20378
Contig41967	3843	4390	6948	7495
Contig122747	272	1360	6441	7529
Contig82005	1387	4432	18643	21688
Contig145464	45	1295	7132	8382
Contig3610	6933	7126	8027	8220
Contig49884	9582	10878	16927	18223
Contig2579	5063	6037	10588	11562
