"Quant_Varia"	"contig_gene"	"start_gene_2kb"	"end_gene_2kb"	"Pst_Values"
"Contig0_10497_95068"	"Contig0"	"10497"	"95068"	0.00223217103574326
"Contig1_5358_15988"	"Contig1"	"5358"	"15988"	0.597550527835028
"Contig100_48322_58076"	"Contig100"	"48322"	"58076"	0.765728815428566
"Contig100158_5827_11433"	"Contig100158"	"5827"	"11433"	0.224545078859516
"Contig100188_1_4123"	"Contig100188"	"1"	"4123"	0.64214497585277
"Contig100199_5411_27437"	"Contig100199"	"5411"	"27437"	0.0617607128188794
"Contig100396_1_4908"	"Contig100396"	"1"	"4908"	0.00241793609609841
"Contig100499_508_4044"	"Contig100499"	"508"	"4044"	0.13146562589531
"Contig1006_1_13779"	"Contig1006"	"1"	"13779"	0.0775690002412878
"Contig100687_1_2967"	"Contig100687"	"1"	"2967"	0.269855251207501
"Contig100691_1_8538"	"Contig100691"	"1"	"8538"	0.0182232673393139
"Contig100696_1_4505"	"Contig100696"	"1"	"4505"	0.654991987583856
"Contig10074_2260_6621"	"Contig10074"	"2260"	"6621"	0.361383052656109
"Contig100743_7752_12849"	"Contig100743"	"7752"	"12849"	0.611084306052289
"Contig100806_1_3335"	"Contig100806"	"1"	"3335"	0.0225660606634899
"Contig100843_1_8916"	"Contig100843"	"1"	"8916"	0.372302201539025
"Contig100953_4256_11790"	"Contig100953"	"4256"	"11790"	0.0390332403684371
"Contig100994_1_8602"	"Contig100994"	"1"	"8602"	0.705963022524078
"Contig1010_1_34210"	"Contig1010"	"1"	"34210"	0.423226392253687
"Contig101068_1_15720"	"Contig101068"	"1"	"15720"	0.145479980253507
"Contig101068_1398_16767"	"Contig101068"	"1398"	"16767"	0.145479980253507
"Contig10117_48_10916"	"Contig10117"	"48"	"10916"	0.0769203334922359
"Contig1013_14071_19514"	"Contig1013"	"14071"	"19514"	0.126527747221843
"Contig1013_16204_21663"	"Contig1013"	"16204"	"21663"	0.00674667471778484
"Contig1013_19958_25456"	"Contig1013"	"19958"	"25456"	0.406965233227463
"Contig101313_1595_9954"	"Contig101313"	"1595"	"9954"	0.269158371817944
"Contig101333_3371_8675"	"Contig101333"	"3371"	"8675"	0.201873570571869
"Contig101361_1_9241"	"Contig101361"	"1"	"9241"	0.017645439340471
"Contig101375_572_6453"	"Contig101375"	"572"	"6453"	3.93302270475484e-07
"Contig10144_1_8748"	"Contig10144"	"1"	"8748"	0.262029500109004
"Contig101445_1_7301"	"Contig101445"	"1"	"7301"	0.42075253747496
"Contig101459_3892_8322"	"Contig101459"	"3892"	"8322"	0.0507083168412669
"Contig101527_8822_18541"	"Contig101527"	"8822"	"18541"	0.799800840369163
"Contig101541_1_10548"	"Contig101541"	"1"	"10548"	0.186862202738752
"Contig101661_1_5354"	"Contig101661"	"1"	"5354"	0.567923451456814
"Contig101801_1_3581"	"Contig101801"	"1"	"3581"	0.0975264667624723
"Contig101801_500_3581"	"Contig101801"	"500"	"3581"	0.0975264667624723
"Contig101853_6247_9628"	"Contig101853"	"6247"	"9628"	0.00484396970287408
"Contig1019_1_14598"	"Contig1019"	"1"	"14598"	0.0100830694567968
"Contig102_1_16673"	"Contig102"	"1"	"16673"	0.85424989309234
