"","contig_gene","start_gene_2kb","end_gene_2kb","chr","start","end","meth.diff"
"1","Contig100188",627,629,"Contig100188",627,629,-32.7235772357724
"2","Contig100696",2765,2767,"Contig100696",2765,2767,39.1906189384588
"3","Contig100743",10043,10045,"Contig100743",10043,10045,35.6869325760509
"4","Contig100743",10218,10220,"Contig100743",10218,10220,-57.7604265854123
"5","Contig100994",3071,3073,"Contig100994",3071,3073,-26.2564862861379
"6","Contig100994",3427,3429,"Contig100994",3427,3429,-34.5014601585315
"7","Contig103542",1962,1964,"Contig103542",1962,1964,28.2982931653359
"8","Contig104064",2696,2698,"Contig104064",2696,2698,40.3821976364094
"9","Contig1046",23539,23541,"Contig1046",23539,23541,-28.3893985728848
"10","Contig104660",8136,8138,"Contig104660",8136,8138,34.6981848881384
"11","Contig105226",762,764,"Contig105226",762,764,-40.66186449525
"12","Contig105425",6860,6862,"Contig105425",6860,6862,37.6068376068376
"13","Contig10592",486,488,"Contig10592",486,488,-29.6160130718954
"14","Contig10592",552,554,"Contig10592",552,554,27.979464613128
"15","Contig106082",2292,2294,"Contig106082",2292,2294,32.6255476912707
"16","Contig106082",2408,2410,"Contig106082",2408,2410,30.3045917783122
"17","Contig106082",2559,2561,"Contig106082",2559,2561,45.5259026687598
"18","Contig106878",405,407,"Contig106878",405,407,-59.7938144329897
"19","Contig107764",5991,5993,"Contig107764",5991,5993,-26.7792756212441
"20","Contig108714",1054,1056,"Contig108714",1054,1056,37.0879120879121
"21","Contig108714",1114,1116,"Contig108714",1114,1116,36.9742198100407
"22","Contig108714",1146,1148,"Contig108714",1146,1148,32.1910112359551
"23","Contig109515",2905,2907,"Contig109515",2905,2907,44.2695319007163
"24","Contig109515",3091,3093,"Contig109515",3091,3093,40.5934653357334
"25","Contig109515",3377,3379,"Contig109515",3377,3379,46.6443887496519
"26","Contig1098",22401,22403,"Contig1098",22401,22403,47.9395604395604
"27","Contig11",65908,65910,"Contig11",65908,65910,35.2831594634873
"28","Contig110223",7165,7167,"Contig110223",7165,7167,33.9593460008838
"29","Contig110573",3297,3299,"Contig110573",3297,3299,-57.2984504828206
"30","Contig111633",1482,1484,"Contig111633",1482,1484,28.6365709074327
"31","Contig112130",2828,2830,"Contig112130",2828,2830,27.0843221009334
"32","Contig1125",2053,2055,"Contig1125",2053,2055,28.4166666666667
"33","Contig1125",9187,9189,"Contig1125",9187,9189,31.3498622589532
"34","Contig1127",4423,4425,"Contig1127",4423,4425,32.1457326892109
"35","Contig1127",4425,4427,"Contig1127",4425,4427,42.5146198830409
"36","Contig1127",4537,4539,"Contig1127",4537,4539,-46.583850931677
"37","Contig1127",4579,4581,"Contig1127",4579,4581,-43.1018603794437
"38","Contig113403",1461,1463,"Contig113403",1461,1463,-29.1823899371069
"39","Contig1156",17526,17528,"Contig1156",17526,17528,-40.6760316066725
"40","Contig116303",5387,5389,"Contig116303",5387,5389,-44.9009620826259
"41","Contig116303",6551,6553,"Contig116303",6551,6553,-51.9566124322069
"42","Contig116303",8351,8353,"Contig116303",8351,8353,-33.4422213148224
"43","Contig116996",893,895,"Contig116996",893,895,47.9158096805156
"44","Contig117650",1461,1463,"Contig117650",1461,1463,-25.6811899433987
"45","Contig118138",327,329,"Contig118138",327,329,33.010752688172
"46","Contig118138",350,352,"Contig118138",350,352,41.6369047619048
"47","Contig118291",11326,11328,"Contig118291",11326,11328,-41.875
"48","Contig1198",8004,8006,"Contig1198",8004,8006,-35.3218372948061
"49","Contig121347",1157,1159,"Contig121347",1157,1159,42.1501599448034
"50","Contig1224",2316,2318,"Contig1224",2316,2318,34.3649456105408
"51","Contig123831",8439,8441,"Contig123831",8439,8441,32.9245283018868
"52","Contig123831",8452,8454,"Contig123831",8452,8454,33.4684243341943
"53","Contig1240",3739,3741,"Contig1240",3739,3741,30.916179337232
"54","Contig1240",4022,4024,"Contig1240",4022,4024,29.0901262916188
"55","Contig1240",4222,4224,"Contig1240",4222,4224,26.3077510500191
"56","Contig124197",660,662,"Contig124197",660,662,37.4662319515603
"57","Contig124397",4150,4152,"Contig124397",4150,4152,48.0378453929685
"58","Contig1245",9190,9192,"Contig1245",9190,9192,-40.3852820284257
"59","Contig1245",9228,9230,"Contig1245",9228,9230,-45.7831325301205
"60","Contig1245",9748,9750,"Contig1245",9748,9750,47.2853060610618
"61","Contig126730",7332,7334,"Contig126730",7332,7334,59.2995622263915
"62","Contig126791",4548,4550,"Contig126791",4548,4550,25.7985440499183
"63","Contig1270",3567,3569,"Contig1270",3567,3569,-44.0723852949558
"64","Contig1270",3660,3662,"Contig1270",3660,3662,72.1634402748954
"65","Contig1270",4726,4728,"Contig1270",4726,4728,39.4145950280674
"66","Contig1270",4744,4746,"Contig1270",4744,4746,-33.3731521576826
"67","Contig1270",4768,4770,"Contig1270",4768,4770,-25.6352995533652
"68","Contig1270",4822,4824,"Contig1270",4822,4824,-29.3771043771044
"69","Contig1284",20007,20009,"Contig1284",20007,20009,-28.5093167701863
"70","Contig1297",49901,49903,"Contig1297",49901,49903,26.7518939393939
"71","Contig1297",49901,49903,"Contig1297",49901,49903,26.7518939393939
"72","Contig13",13027,13029,"Contig13",13027,13029,-31.1111111111111
"73","Contig1301",7683,7685,"Contig1301",7683,7685,34.7784568372804
"74","Contig1301",7772,7774,"Contig1301",7772,7774,25.8870967741936
"75","Contig130124",709,711,"Contig130124",709,711,28.0961337513062
"76","Contig130124",3218,3220,"Contig130124",3218,3220,26.3286127607736
"77","Contig130124",4279,4281,"Contig130124",4279,4281,-69.0140845070423
"78","Contig130124",709,711,"Contig130124",709,711,28.0961337513062
"79","Contig130124",3218,3220,"Contig130124",3218,3220,26.3286127607736
"80","Contig131",6436,6438,"Contig131",6436,6438,64.6020702528424
"81","Contig131",6470,6472,"Contig131",6470,6472,63.947903947904
"82","Contig131070",6853,6855,"Contig131070",6853,6855,-28.9253187613843
"83","Contig132",51469,51471,"Contig132",51469,51471,57.518115942029
"84","Contig132",53285,53287,"Contig132",53285,53287,58.3193277310924
"85","Contig132",58775,58777,"Contig132",58775,58777,41.6
"86","Contig132115",1643,1645,"Contig132115",1643,1645,28.6938291860359
"87","Contig137608",755,757,"Contig137608",755,757,-46.2980718014275
"88","Contig140872",307,309,"Contig140872",307,309,-54.9566687803847
"89","Contig141940",1502,1504,"Contig141940",1502,1504,28.7099617984132
"90","Contig1425",45161,45163,"Contig1425",45161,45163,33.4780388151175
"91","Contig143",19460,19462,"Contig143",19460,19462,40.8303854030907
"92","Contig143",19510,19512,"Contig143",19510,19512,26.6109198229218
"93","Contig1433",7801,7803,"Contig1433",7801,7803,33.5353535353535
"94","Contig144141",2988,2990,"Contig144141",2988,2990,28.4606379865379
"95","Contig144141",3057,3059,"Contig144141",3057,3059,-31.8986754774947
"96","Contig144141",3163,3165,"Contig144141",3163,3165,-25.3548387096774
"97","Contig144141",3187,3189,"Contig144141",3187,3189,-34.9322961682512
"98","Contig145217",320,322,"Contig145217",320,322,25.8383184237967
"99","Contig145323",3172,3174,"Contig145323",3172,3174,-31.7941079112877
"100","Contig145474",438,440,"Contig145474",438,440,62.5275764260952
"101","Contig148887",3987,3989,"Contig148887",3987,3989,-31.5407597097738
"102","Contig1493",6354,6356,"Contig1493",6354,6356,-57.3505323505323
"103","Contig15",21888,21890,"Contig15",21888,21890,26.2820512820513
